# TestSimulation (Up to date)
# 636 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.806,97.477,97.477,94.109,94.462,35.518,35.85,6.326,5.442e-4,6.326,89.995,8.161,4.867,28.61,-80.6,0.006,5.791e-6,-0.257,0.057,83.927,89.996,60.644,12.485,9.559e-4,9.854e-6,9.792,31.969,24,3.188,4.448,7.49,1.684,0.631,0.43,0.071,0.13,0.631,0.001,0.004,1.538e-4,0,0,0,0,-1.767e-7,1.84,90,14.366,1001.818,0.001,340.005,0.278,2.702e6,2.5,4.909,0.015,0.099,0.012
1.821,98.892,98.892,94.64,94.997,35.264,35.59,6.449,5.572e-4,6.449,89.995,8.234,4.805,28.61,-80.6,0.002,5.95e-6,-0.107,0.018,83.925,89.99,60.562,12.403,9.544e-4,9.851e-6,9.792,31.97,23.982,3.195,4.448,7.501,1.704,0.631,0.43,0.071,0.13,0.631,4.977e-4,0.002,1.405e-4,0,0,0,0,-3e-8,1.835,90,14.357,1001.652,0.001,339.999,0.28,2.717e6,2.5,4.909,0.013,0.099,0.012
1.834,100.125,100.125,94.936,95.296,10.236,10.45,6.557,5.695e-4,6.557,89.995,8.279,2.102,28.61,-80.6,0.002,5.954e-6,0.061,-0.054,83.924,89.986,60.504,12.344,9.534e-4,9.848e-6,9.792,31.971,23.969,3.201,2.933,4.951,1.714,0.632,0.43,0.071,0.13,0.632,4.428e-4,0.002,-5.298e-5,0,0,0,0,9.886e-9,1.83,90,14.349,1001.507,0.001,339.995,0.281,2.725e6,2.5,4.909,0.013,0.1,0.012
1.847,101.359,101.359,94.897,95.258,-16.166,16.183,6.664,5.834e-4,6.664,89.995,8.288,0.739,28.61,-80.6,0.005,5.919e-6,0.212,-0.028,83.922,89.985,60.47,12.311,9.528e-4,9.847e-6,9.792,31.97,23.962,3.203,1.325,2.238,1.713,0.631,0.43,0.071,0.13,0.631,0.001,0.004,-3.266e-4,0,0,0,0,1.179e-7,1.826,90,14.341,1001.362,0.001,339.99,0.281,2.723e6,2.5,4.909,0.013,0.1,0.012
# Event BURNOUT occurred at t=1.86 seconds
1.86,102.591,102.591,94.546,94.907,-37.74,37.865,6.772,5.987e-4,6.772,89.995,8.263,3.071,28.61,-80.6,0.009,5.969e-6,0.454,0.014,83.918,89.988,60.459,12.3,9.526e-4,9.847e-6,9.792,31.968,23.959,3.204,0,0,1.7,0.631,0.43,0.071,0.13,0.631,0.002,0.006,2.828e-4,0,0,0,0,5.439e-7,1.826,90,14.333,1001.218,0.001,339.985,0.28,2.713e6,2.5,4.909,0.02,0.101,0.012
1.88,104.427,104.427,93.815,94.173,-37.294,37.417,6.932,6.229e-4,6.932,89.995,8.203,3.023,28.61,-80.6,0.008,6.623e-6,0.922,0.088,83.904,89.997,60.459,12.3,9.526e-4,9.847e-6,9.792,31.968,23.959,3.203,0,0,1.673,0.631,0.43,0.071,0.13,0.631,0.002,0.006,2.208e-4,0,0,0,0,2.281e-6,1.829,90,14.321,1001.002,0.001,339.978,0.278,2.692e6,2.5,4.909,0.029,0.102,0.012
1.909,107.156,107.156,92.733,93.088,-36.672,36.768,7.171,6.566e-4,7.171,89.995,8.118,2.662,28.61,-80.6,0.026,8.973e-6,-0.81,0.021,83.872,90.003,60.459,12.3,9.526e-4,9.847e-6,9.792,31.961,23.959,3.201,0,0,1.633,0.631,0.43,0.071,0.13,0.631,0.005,0.017,3.816e-4,0,0,0,0,-1.802e-6,1.795,90,14.303,1000.682,0.001,339.967,0.274,2.66e6,2.5,4.909,0.044,0.102,0.012
1.953,111.189,111.189,91.145,91.496,-35.7,35.806,7.525,6.971e-4,7.525,89.995,8.007,2.745,28.61,-80.6,7.277e-4,-4.544e-6,2.796,1.126,83.964,89.993,60.459,12.3,9.526e-4,9.847e-6,9.792,31.968,23.959,3.204,0,0,1.575,0.63,0.43,0.07,0.129,0.63,1.518e-4,4.529e-4,-4.206e-4,0,0,0,0,2.223e-5,1.629,90,14.277,1000.209,0.001,339.951,0.27,2.614e6,2.5,4.909,0.05,0.103,0.012
2.003,115.702,115.702,89.388,89.732,-34.693,34.79,7.921,7.522e-4,7.921,89.995,7.847,2.594,28.61,-80.6,0.013,8.155e-5,-4.234,0.213,83.832,90,60.459,12.3,9.526e-4,9.847e-6,9.792,31.963,23.959,3.201,0,0,1.514,0.63,0.43,0.07,0.129,0.63,0.003,0.008,-6.381e-5,0,0,0,0,-5.299e-5,1.792,90,14.248,999.68,0.001,339.933,0.264,2.563e6,2.5,4.909,0.05,0.103,0.012
2.053,120.129,120.129,87.676,88.017,-33.702,33.801,8.311,8.04e-4,8.311,89.994,7.74,2.584,28.61,-80.6,0.002,9.456e-5,-3.089,-0.356,83.904,89.996,60.459,12.3,9.526e-4,9.847e-6,9.792,31.965,23.959,3.202,0,0,1.454,0.629,0.431,0.07,0.129,0.629,5.005e-4,0.001,-1.542e-4,0,0,0,0,-2.933e-5,1.627,90,14.219,999.161,0.001,339.916,0.259,2.513e6,2.5,4.909,0.05,0.104,0.011
2.103,124.471,124.471,86.015,86.35,-32.772,32.871,8.694,8.532e-4,8.694,89.994,7.597,2.551,28.61,-80.6,0.01,1.352e-4,2.102,0.214,83.876,90.004,60.459,12.3,9.526e-4,9.847e-6,9.792,31.962,23.959,3.201,0,0,1.398,0.628,0.431,0.069,0.128,0.628,0.002,0.006,4.239e-4,0,0,0,0,1.411e-5,1.646,90,14.191,998.652,0.001,339.899,0.255,2.464e6,2.5,4.909,0.05,0.105,0.011
2.153,128.731,128.731,84.398,84.729,-31.906,31.989,9.071,8.951e-4,9.071,89.994,7.482,2.309,28.61,-80.6,0.012,1.417e-4,0.101,-0.031,83.834,89.997,60.459,12.3,9.526e-4,9.847e-6,9.792,31.96,23.959,3.2,0,0,1.344,0.628,0.431,0.069,0.128,0.628,0.003,0.008,-3.945e-4,0,0,0,0,3.369e-8,1.617,90,14.163,998.152,0.001,339.882,0.25,2.417e6,2.5,4.909,0.05,0.105,0.011
2.203,132.911,132.911,82.824,83.151,-31.046,31.138,9.442,9.408e-4,9.442,89.994,7.364,2.394,28.61,-80.6,0.013,1.347e-4,0.089,0.003,83.849,89.992,60.459,12.3,9.526e-4,9.847e-6,9.792,31.958,23.959,3.2,0,0,1.293,0.627,0.431,0.069,0.128,0.627,0.003,0.008,2.978e-4,0,0,0,0,2.701e-8,1.581,90,14.136,997.662,0.001,339.865,0.245,2.372e6,2.5,4.909,0.05,0.106,0.011
2.253,137.014,137.014,81.293,81.614,-30.247,30.342,9.807,9.947e-4,9.807,89.994,7.235,2.391,28.61,-80.6,0.017,1.17e-4,4.517,-0.033,83.694,89.992,60.459,12.3,9.526e-4,9.847e-6,9.792,31.956,23.959,3.199,0,0,1.245,0.627,0.431,0.069,0.128,0.627,0.004,0.012,2.513e-4,0,0,0,0,7.287e-5,1.774,90,14.109,997.181,0.001,339.849,0.241,2.328e6,2.5,4.909,0.05,0.106,0.01
2.303,141.041,141.041,79.798,80.116,-29.513,29.586,10.166,0.001,10.166,89.994,7.132,2.087,28.61,-80.6,0.023,1.125e-4,-1.448,0.03,83.55,89.998,60.459,12.3,9.526e-4,9.847e-6,9.792,31.953,23.959,3.197,0,0,1.199,0.627,0.431,0.068,0.127,0.627,0.005,0.015,-4.432e-4,0,0,0,0,-7.77e-6,1.857,90,14.083,996.708,0.001,339.833,0.236,2.285e6,2.5,4.909,0.05,0.107,0.01
2.353,144.995,144.995,78.343,78.656,-28.757,28.851,10.52,0.001,10.52,89.994,7.014,2.324,28.61,-80.6,0.02,1.066e-4,3.74,-0.036,83.422,89.991,60.459,12.3,9.526e-4,9.847e-6,9.792,31.953,23.959,3.197,0,0,1.155,0.626,0.431,0.068,0.127,0.626,0.004,0.013,-6.981e-5,0,0,0,0,5.372e-5,2.048,90,14.058,996.245,0.001,339.818,0.232,2.243e6,2.5,4.909,0.05,0.107,0.01
2.403,148.876,148.876,76.92,77.231,-28.108,28.163,10.869,0.001,10.869,89.994,6.924,1.769,28.61,-80.6,0.059,1.112e-4,1.818,0.029,83.38,89.987,60.459,12.3,9.526e-4,9.847e-6,9.792,31.94,23.959,3.192,0,0,1.112,0.626,0.431,0.068,0.127,0.626,0.012,0.04,1.945e-4,0,0,0,0,1.317e-5,1.923,90,14.032,995.789,0.001,339.802,0.228,2.202e6,2.5,4.909,0.037,0.108,0.01
2.44,151.74,151.74,75.876,76.185,-27.554,27.634,11.127,0.001,11.127,89.994,6.852,2.092,28.61,-80.6,0.01,1.102e-4,-3.503,0.121,83.495,89.989,60.459,12.3,9.526e-4,9.847e-6,9.792,31.955,23.959,3.198,0,0,1.081,0.625,0.431,0.068,0.127,0.625,0.002,0.006,-3.808e-4,0,0,0,0,-5.026e-5,1.813,90,14.014,995.453,0.001,339.791,0.225,2.171e6,2.5,4.909,0.05,0.108,0.01
2.49,155.5,155.5,74.516,74.82,-26.884,26.974,11.467,0.001,11.467,89.994,6.739,2.202,28.61,-80.6,0.046,1.271e-4,0.383,-0.002,83.563,89.996,60.459,12.3,9.526e-4,9.847e-6,9.792,31.942,23.959,3.193,0,0,1.042,0.625,0.431,0.067,0.126,0.625,0.01,0.031,2.738e-5,0,0,0,0,6.232e-7,1.728,90,13.989,995.012,0.001,339.776,0.221,2.131e6,2.5,4.909,0.05,0.109,0.01
2.54,159.192,159.192,73.187,73.487,-26.288,26.359,11.801,0.001,11.801,89.994,6.638,1.932,28.61,-80.6,0.007,1.286e-4,2.044,-0.154,83.478,89.988,60.459,12.3,9.526e-4,9.847e-6,9.792,31.954,23.959,3.198,0,0,1.004,0.625,0.431,0.067,0.126,0.625,0.001,0.004,-1.695e-4,0,0,0,0,1.839e-5,1.738,90,13.965,994.579,0.001,339.762,0.217,2.093e6,2.5,4.909,0.05,0.109,0.009
2.59,162.819,162.819,71.886,72.184,-25.716,25.771,12.13,0.001,12.13,89.993,6.549,1.688,28.61,-80.6,0.03,1.19e-4,-0.583,-0.005,83.407,89.99,60.459,12.3,9.526e-4,9.847e-6,9.792,31.946,23.959,3.195,0,0,0.968,0.624,0.431,0.067,0.126,0.624,0.006,0.02,4.015e-4,0,0,0,0,-1.55e-6,1.721,90,13.942,994.154,0.001,339.748,0.213,2.055e6,2.5,4.909,0.05,0.11,0.009
2.64,166.381,166.381,70.616,70.91,-25.105,25.187,12.456,0.001,12.456,89.993,6.455,2.029,28.61,-80.6,0.047,1.188e-4,1.373,-0.031,83.38,89.99,60.459,12.3,9.526e-4,9.847e-6,9.792,31.94,23.959,3.192,0,0,0.934,0.624,0.432,0.067,0.126,0.624,0.01,0.031,4.451e-4,0,0,0,0,8.911e-6,1.798,90,13.919,993.736,0.001,339.734,0.209,2.019e6,2.5,4.909,0.05,0.11,0.009
2.69,169.881,169.881,69.373,69.665,-24.615,24.659,12.776,0.002,12.776,89.993,6.367,1.473,28.61,-80.6,0.056,1.065e-4,-1.309,-0.009,83.28,89.986,60.459,12.3,9.526e-4,9.847e-6,9.792,31.936,23.959,3.191,0,0,0.9,0.624,0.432,0.067,0.125,0.624,0.012,0.037,2.78e-4,0,0,0,0,-8.392e-6,1.738,90,13.896,993.326,0.001,339.72,0.206,1.983e6,2.5,4.909,0.049,0.11,0.009
2.739,173.274,173.274,68.173,68.462,-24.021,24.116,13.088,0.002,13.088,89.993,6.28,2.139,28.61,-80.6,0.092,1.018e-4,1.883,-0.013,83.244,89.984,60.459,12.3,9.526e-4,9.847e-6,9.792,31.924,23.959,3.186,0,0,0.869,0.623,0.432,0.066,0.125,0.623,0.019,0.061,1.755e-4,0,0,0,0,1.797e-5,1.907,90,13.874,992.928,0.001,339.706,0.202,1.949e6,2.5,4.909,0.031,0.111,0.009
2.771,175.404,175.404,67.424,67.709,-23.741,23.809,13.284,0.002,13.284,89.993,6.215,1.795,28.61,-80.6,0.022,9.837e-5,5.364,-0.038,83.121,89.988,60.459,12.3,9.526e-4,9.847e-6,9.792,31.946,23.959,3.195,0,0,0.85,0.623,0.432,0.066,0.125,0.623,0.005,0.015,1.982e-4,0,0,0,0,1.49e-4,1.946,90,13.86,992.678,0.001,339.698,0.2,1.927e6,2.5,4.909,0.047,0.111,0.009
2.818,178.553,178.553,66.314,66.599,-23.342,23.374,13.576,0.002,13.576,89.993,6.15,1.219,28.61,-80.6,0.101,9.829e-5,-1.051,-0.015,82.954,89.996,60.459,12.3,9.526e-4,9.847e-6,9.792,31.92,23.959,3.184,0,0,0.822,0.623,0.432,0.066,0.125,0.623,0.021,0.067,1.571e-4,0,0,0,0,-5.917e-6,1.927,90,13.839,992.309,0.001,339.686,0.197,1.895e6,2.5,4.909,0.03,0.112,0.009
2.848,180.533,180.533,65.618,65.902,-23.024,23.069,13.76,0.002,13.76,89.993,6.111,1.442,28.61,-80.6,0.044,9.754e-5,2.028,-0.008,82.975,89.995,60.459,12.3,9.526e-4,9.847e-6,9.792,31.938,23.959,3.191,0,0,0.805,0.623,0.432,0.066,0.125,0.623,0.009,0.029,-3.732e-4,0,0,0,0,2.249e-5,1.924,90,13.827,992.076,0.001,339.678,0.195,1.875e6,2.5,4.909,0.045,0.112,0.008
2.893,183.465,183.465,64.592,64.874,-22.551,22.627,14.033,0.002,14.033,89.993,6.034,1.857,28.61,-80.6,0.068,9.97e-5,-0.684,-0.016,83.055,89.986,60.459,12.3,9.526e-4,9.847e-6,9.792,31.93,23.959,3.188,0,0,0.779,0.623,0.432,0.066,0.125,0.623,0.014,0.045,1.69e-4,0,0,0,0,-2.641e-6,1.912,90,13.807,991.733,0.001,339.666,0.192,1.846e6,2.5,4.909,0.047,0.113,0.008
2.94,186.488,186.488,63.538,63.816,-22.138,22.207,14.316,0.002,14.316,89.992,5.947,1.746,28.61,-80.6,0.052,8.494e-5,3.402,-0.021,82.978,89.984,60.459,12.3,9.526e-4,9.847e-6,9.792,31.934,23.959,3.19,0,0,0.754,0.622,0.432,0.066,0.125,0.622,0.011,0.035,1.743e-4,0,0,0,0,6.744e-5,1.938,90,13.788,991.378,0.001,339.654,0.189,1.815e6,2.5,4.909,0.05,0.113,0.008
2.99,189.637,189.637,62.44,62.716,-21.764,21.8,14.611,0.002,14.611,89.992,5.874,1.257,28.61,-80.6,0.064,8.609e-5,-2.461,0.003,82.807,89.99,60.459,12.3,9.526e-4,9.847e-6,9.792,31.93,23.959,3.188,0,0,0.728,0.622,0.432,0.066,0.124,0.622,0.013,0.043,-1.667e-5,0,0,0,0,-3.653e-5,1.935,90,13.767,991.009,0.001,339.642,0.185,1.784e6,2.5,4.909,0.05,0.114,0.008
3.04,192.732,192.732,61.363,61.637,-21.338,21.377,14.903,0.002,14.903,89.992,5.812,1.294,28.61,-80.6,0.044,8.471e-5,1.268,-0.021,82.792,89.993,60.459,12.3,9.526e-4,9.847e-6,9.792,31.935,23.959,3.19,0,0,0.702,0.622,0.432,0.066,0.124,0.622,0.009,0.03,1.984e-4,0,0,0,0,1.003e-5,1.9,90,13.747,990.646,0.001,339.63,0.182,1.753e6,2.5,4.909,0.05,0.114,0.008
3.09,195.774,195.774,60.307,60.58,-20.89,20.954,15.192,0.002,15.192,89.992,5.737,1.638,28.61,-80.6,0.063,8.636e-5,-0.319,-0.009,82.852,89.995,60.459,12.3,9.526e-4,9.847e-6,9.792,31.929,23.959,3.188,0,0,0.678,0.622,0.432,0.065,0.124,0.622,0.013,0.042,3.433e-4,0,0,0,0,-6.589e-7,1.893,90,13.727,990.289,0.001,339.618,0.179,1.722e6,2.5,4.909,0.05,0.115,0.008
3.14,198.764,198.764,59.273,59.542,-20.483,20.565,15.477,0.002,15.477,89.992,5.649,1.834,28.61,-80.6,0.126,8.248e-5,5.292,-0.02,82.728,89.989,60.459,12.3,9.526e-4,9.847e-6,9.792,31.909,23.959,3.18,0,0,0.655,0.621,0.432,0.065,0.124,0.621,0.026,0.083,2.844e-4,0,0,0,0,1.873e-4,2.048,90,13.708,989.938,0.001,339.606,0.176,1.693e6,2.5,4.909,0.03,0.116,0.008
3.17,200.546,200.546,58.657,58.923,-20.312,20.36,15.647,0.002,15.647,89.992,5.599,1.397,28.61,-80.6,0.002,7.819e-5,7.615,-1.269,82.521,89.987,60.459,12.3,9.526e-4,9.847e-6,9.792,31.947,23.959,3.195,0,0,0.642,0.621,0.432,0.065,0.124,0.621,4.785e-4,9.484e-4,7.071e-5,0,0,0,0,3.958e-4,2.104,90,13.696,989.729,0.001,339.599,0.174,1.675e6,2.5,4.909,0.045,0.116,0.008
3.216,203.186,203.186,57.741,58.007,-20.068,20.082,15.9,0.002,15.9,89.992,5.552,0.745,28.61,-80.6,0.189,7.209e-5,-2.984,-0.011,82.254,89.987,60.459,12.3,9.526e-4,9.847e-6,9.792,31.889,23.959,3.172,0,0,0.622,0.621,0.432,0.065,0.124,0.621,0.04,0.125,1.044e-4,0,0,0,0,-6.27e-5,2.108,90,13.679,989.42,0.001,339.589,0.172,1.649e6,2.5,4.909,0.021,0.117,0.007
3.237,204.407,204.407,57.316,57.583,-19.919,19.932,16.017,0.002,16.017,89.992,5.537,0.709,28.61,-80.6,0.197,7.427e-5,1.229,-0.015,82.236,89.989,60.459,12.3,9.526e-4,9.847e-6,9.792,31.886,23.959,3.171,0,0,0.612,0.621,0.432,0.065,0.124,0.621,0.041,0.131,-1.981e-4,0,0,0,0,1.078e-5,2.077,90,13.671,989.276,0.001,339.584,0.17,1.637e6,2.5,4.909,0.021,0.117,0.007
3.258,205.582,205.582,56.908,57.176,-19.737,19.76,16.131,0.002,16.131,89.992,5.52,0.962,28.61,-80.6,0.115,7.475e-5,4.551,-0.013,82.298,89.991,60.459,12.3,9.526e-4,9.847e-6,9.792,31.911,23.959,3.181,0,0,0.604,0.621,0.432,0.065,0.124,0.621,0.024,0.076,1.549e-4,0,0,0,0,1.501e-4,2.06,90,13.664,989.139,0.001,339.579,0.169,1.625e6,2.5,4.909,0.031,0.118,0.007
3.288,207.328,207.328,56.304,56.57,-19.439,19.504,16.301,0.002,16.301,89.992,5.481,1.582,28.61,-80.6,0.09,7.46e-5,-4.872,-0.013,82.458,89.992,60.459,12.3,9.526e-4,9.847e-6,9.792,31.919,23.959,3.184,0,0,0.591,0.621,0.432,0.065,0.124,0.621,0.019,0.06,-1.473e-4,0,0,0,0,-1.757e-4,2.064,90,13.652,988.934,0.001,339.572,0.167,1.608e6,2.5,4.909,0.046,0.118,0.007
3.335,209.913,209.913,55.413,55.675,-19.101,19.183,16.552,0.002,16.552,89.991,5.398,1.772,28.61,-80.6,0.169,6.866e-5,2.09,0.009,82.525,89.993,60.459,12.3,9.526e-4,9.847e-6,9.792,31.894,23.959,3.174,0,0,0.572,0.621,0.432,0.065,0.124,0.621,0.035,0.113,-1.256e-4,0,0,0,0,3.338e-5,2.039,90,13.636,988.631,0.001,339.562,0.165,1.582e6,2.5,4.909,0.026,0.119,0.007
3.36,211.328,211.328,54.925,55.185,-18.967,19.026,16.69,0.002,16.69,89.991,5.356,1.5,28.61,-80.6,0.087,7.044e-5,5.127,0.012,82.428,89.992,60.459,12.3,9.526e-4,9.847e-6,9.792,31.919,23.959,3.184,0,0,0.562,0.621,0.432,0.065,0.123,0.621,0.018,0.057,-2.873e-4,0,0,0,0,2.045e-4,2.03,90,13.626,988.465,0.001,339.556,0.163,1.568e6,2.5,4.909,0.038,0.119,0.007
3.399,213.428,213.428,54.198,54.458,-18.783,18.811,16.896,0.003,16.896,89.991,5.308,1.022,28.61,-80.6,0.07,7.178e-5,-5.318,0.005,82.211,89.987,60.459,12.3,9.526e-4,9.847e-6,9.792,31.924,23.959,3.186,0,0,0.547,0.62,0.432,0.065,0.123,0.62,0.015,0.046,-3.612e-4,0,0,0,0,-2.259e-4,2.038,90,13.613,988.218,0.001,339.548,0.161,1.547e6,2.5,4.909,0.05,0.12,0.007
3.449,216.114,216.114,53.266,53.525,-18.511,18.525,17.16,0.003,17.16,89.991,5.269,0.715,28.61,-80.6,0.169,8.616e-5,1.015,-0.001,82.098,89.982,60.459,12.3,9.526e-4,9.847e-6,9.792,31.893,23.959,3.173,0,0,0.528,0.62,0.432,0.065,0.123,0.62,0.035,0.112,-3.323e-4,0,0,0,0,8.511e-6,1.964,90,13.595,987.903,0.001,339.538,0.158,1.52e6,2.5,4.909,0.028,0.12,0.007
3.477,217.589,217.589,52.753,53.014,-18.318,18.338,17.306,0.003,17.306,89.991,5.247,0.859,28.61,-80.6,0.11,8.605e-5,4.44,-0.005,82.177,89.985,60.459,12.3,9.526e-4,9.847e-6,9.792,31.911,23.959,3.181,0,0,0.518,0.62,0.432,0.065,0.123,0.62,0.023,0.073,1.364e-4,0,0,0,0,1.662e-4,1.897,90,13.586,987.73,0.001,339.532,0.157,1.506e6,2.5,4.909,0.042,0.121,0.007
3.518,219.774,219.774,51.996,52.255,-17.992,18.048,17.524,0.003,17.524,89.991,5.201,1.425,28.61,-80.6,0.115,8.371e-5,-4.906,-0.007,82.398,89.991,60.459,12.3,9.526e-4,9.847e-6,9.792,31.909,23.959,3.18,0,0,0.503,0.62,0.432,0.065,0.123,0.62,0.024,0.076,5.165e-5,0,0,0,0,-2.088e-4,1.845,90,13.571,987.474,0.001,339.523,0.155,1.484e6,2.5,4.909,0.043,0.122,0.007
3.562,222.004,222.004,51.225,51.481,-17.703,17.789,17.748,0.003,17.748,89.991,5.131,1.747,28.61,-80.6,0.253,9.813e-5,2.085,-0.004,82.469,89.992,60.459,12.3,9.526e-4,9.847e-6,9.791,31.866,23.959,3.163,0,0,0.488,0.62,0.432,0.064,0.123,0.62,0.053,0.167,-3.785e-4,0,0,0,0,3.885e-5,1.871,90,13.557,987.213,0.001,339.514,0.152,1.462e6,2.5,4.909,0.02,0.122,0.007
3.582,223.036,223.036,50.868,51.123,-17.601,17.679,17.851,0.003,17.851,89.991,5.096,1.655,28.61,-80.6,0.223,9.855e-5,5.913,-0.013,82.388,89.99,60.459,12.3,9.526e-4,9.847e-6,9.791,31.875,23.959,3.166,0,0,0.481,0.62,0.432,0.064,0.123,0.62,0.047,0.148,-3.729e-4,0,0,0,0,3.168e-4,1.904,90,13.55,987.092,0.001,339.51,0.151,1.452e6,2.5,4.909,0.023,0.123,0.007
3.605,224.212,224.212,50.46,50.713,-17.511,17.564,17.969,0.003,17.969,89.991,5.061,1.363,28.61,-80.6,0.113,9.882e-5,8.98,-0.038,82.211,89.986,60.459,12.3,9.526e-4,9.847e-6,9.791,31.909,23.959,3.18,0,0,0.473,0.62,0.432,0.064,0.123,0.62,0.024,0.074,-4.527e-4,0,0,0,0,7.422e-4,1.943,90,13.543,986.954,0.001,339.506,0.15,1.44e6,2.5,4.909,0.035,0.123,0.007
3.64,225.96,225.96,49.852,50.105,-17.396,17.416,18.144,0.003,18.144,89.991,5.022,0.846,28.61,-80.6,0.094,9.913e-5,-9.124,-0.05,81.881,89.983,60.459,12.3,9.526e-4,9.847e-6,9.791,31.914,23.959,3.182,0,0,0.462,0.62,0.432,0.064,0.123,0.62,0.02,0.064,-4.048e-4,0,0,0,0,-7.846e-4,2.006,90,13.531,986.749,0.001,339.499,0.148,1.423e6,2.5,4.909,0.05,0.123,0.006
3.69,228.431,228.431,48.987,49.241,-17.219,17.221,18.395,0.003,18.395,89.991,4.998,0.244,28.61,-80.6,0.339,9.83e-5,-0.437,-0.005,81.618,89.982,60.459,12.3,9.526e-4,9.847e-6,9.791,31.839,23.959,3.152,0,0,0.446,0.62,0.432,0.064,0.123,0.62,0.071,0.224,7.693e-5,0,0,0,0,-1.867e-6,1.924,90,13.515,986.459,0.001,339.489,0.146,1.398e6,2.5,4.909,0.016,0.124,0.006
3.706,229.237,229.237,48.703,48.959,-17.119,17.122,18.477,0.003,18.477,89.991,4.994,0.325,28.61,-80.6,0.304,9.913e-5,3.459,-0.003,81.644,89.983,60.459,12.3,9.526e-4,9.847e-6,9.791,31.849,23.959,3.156,0,0,0.441,0.619,0.433,0.064,0.123,0.62,0.064,0.201,-2.666e-4,0,0,0,0,1.181e-4,1.897,90,13.51,986.364,0.001,339.486,0.145,1.39e6,2.5,4.909,0.019,0.124,0.006
3.725,230.14,230.14,48.386,48.642,-16.977,16.989,18.57,0.003,18.57,89.991,4.985,0.626,28.61,-80.6,0.173,9.954e-5,6.632,0.002,81.74,89.984,60.459,12.3,9.526e-4,9.847e-6,9.791,31.889,23.959,3.172,0,0,0.435,0.619,0.433,0.064,0.123,0.62,0.036,0.114,-2.587e-5,0,0,0,0,4.399e-4,1.89,90,13.504,986.258,0.001,339.482,0.144,1.381e6,2.5,4.909,0.028,0.125,0.006
3.753,231.483,231.483,47.915,48.171,-16.757,16.798,18.709,0.003,18.709,89.991,4.96,1.171,28.61,-80.6,0.075,9.979e-5,-7.577,0.01,81.949,89.986,60.459,12.3,9.526e-4,9.847e-6,9.791,31.92,23.959,3.184,0,0,0.427,0.619,0.433,0.064,0.123,0.619,0.016,0.051,1.638e-4,0,0,0,0,-5.854e-4,1.882,90,13.495,986.101,0.001,339.477,0.143,1.367e6,2.5,4.909,0.042,0.125,0.006
3.795,233.474,233.474,47.22,47.473,-16.483,16.568,18.915,0.003,18.915,89.99,4.898,1.685,28.61,-80.6,0.323,1.055e-4,-1.246,0.008,82.153,89.989,60.459,12.3,9.526e-4,9.847e-6,9.791,31.843,23.959,3.153,0,0,0.415,0.619,0.433,0.064,0.123,0.619,0.068,0.214,3.726e-4,0,0,0,0,-1.629e-5,1.881,90,13.482,985.867,0.001,339.469,0.141,1.348e6,2.5,4.909,0.019,0.126,0.006
3.813,234.349,234.349,46.915,47.166,-16.397,16.48,19.006,0.003,19.006,89.99,4.866,1.652,28.61,-80.6,0.317,1.067e-4,2.768,0.004,82.139,89.989,60.459,12.3,9.526e-4,9.847e-6,9.791,31.844,23.959,3.154,0,0,0.409,0.619,0.433,0.064,0.123,0.619,0.067,0.21,2.486e-4,0,0,0,0,8.15e-5,1.876,90,13.477,985.765,0.001,339.466,0.14,1.339e6,2.5,4.909,0.019,0.126,0.006
3.833,235.246,235.246,46.601,46.851,-16.33,16.395,19.099,0.003,19.099,89.99,4.836,1.46,28.61,-80.6,0.238,1.053e-4,6.3,0.004,82.05,89.989,60.459,12.3,9.526e-4,9.847e-6,9.791,31.869,23.959,3.164,0,0,0.404,0.619,0.433,0.064,0.123,0.619,0.05,0.157,-7.588e-5,0,0,0,0,4.277e-4,1.868,90,13.471,985.66,0.001,339.462,0.139,1.33e6,2.5,4.909,0.026,0.127,0.006
